Satılan Mamuller Maliyeti (-);0;0;0
Satılan Ticari Mallar Maliyeti (-);1495870;3194810;12178742
Satış Iskontoları (-);816;0;14001
Satış İadeleri (-);164105;0;909363
Yatırım Faaliyetlerinden Giderler;0;0;0
Yurtdışı Satışlar;283419;247825;1437784
Yurtiçi Satışlar;9217321;5177780;36013362
Z1-DÖNEM KARI VERGİ VE DİĞ.YASAL YÜKÜMLÜLÜK KARŞILIĞI;0;1285041;0
Z-DÖNEM KARI/ZARARI;5647763;3231373;36381986
ZT-DÖNEM NET KARI/ZARARI;5647763;4516414;36381986
